"Action name","timestamp"
"Register","2021-04-28 14:03:40.014"
"addAddress","2021-04-28 14:03:40.022"
"addToCart","2021-04-28 14:03:40.023"
"getPriceOf","2021-04-28 14:03:40.024"
"addToCart","2021-04-28 14:03:40.039"
"addToCart","2021-04-28 14:03:40.04"
"removeFromCart","2021-04-28 14:03:40.046"
"setPortionsForDish","2021-04-28 14:03:40.067"
"addToCart","2021-04-28 14:03:40.071"
"getPriceOf","2021-04-28 14:03:40.074"
"finishOrder","2021-04-28 14:03:40.077"
"addDish","2021-04-28 14:03:40.08"
"addRestaurantToFavourites","2021-04-28 14:03:40.084"
"addToCart","2021-04-28 14:03:40.119"
"getPriceOf","2021-04-28 14:03:40.124"
"finishDelivery","2021-04-28 14:03:40.128"
"addDish","2021-04-28 14:03:40.135"
"removeFromCart","2021-04-28 14:03:40.138"
"leaveAReview","2021-04-28 14:03:40.144"
"verifyRestaurantInOrders","2021-04-28 14:03:40.148"
"addRestaurant","2021-04-28 14:03:40.152"
"addMenu","2021-04-28 14:03:40.157"
"addDish","2021-04-28 14:03:40.161"
"addCategory","2021-04-28 14:03:40.165"
"editNumberQuantity","2021-04-28 14:03:40.17"
"verifyIngredientInDish","2021-04-28 14:03:40.173"
"addIngredientToDish","2021-04-28 14:03:40.177"
"showDeliveriesToday","2021-04-28 14:03:40.182"
